Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	451	30.2
56.7	151	3.73	452	30.2
56.7	151	3.73	452	30.2
56.7	151	3.73	452	30.2
56.7	151	3.73	452	30.2
56.7	151	3.73	452	30.2
56.7	151	3.73	452	30.2
56.7	151	3.73	452	30.3
56.7	151	3.73	452	30.3
56.7	151	3.73	452	30.3
56.7	151	3.73	452	30.3
56.7	151	3.73	452	30.3
56.7	151	3.73	453	30.3
56.7	151	3.73	453	30.3
56.7	151	3.73	453	30.3
56.7	151	3.73	453	30.3
56.7	152	3.73	453	30.3
56.7	152	3.73	453	30.3
56.7	152	3.73	453	30.3
56.7	152	3.73	453	30.3
56.7	152	3.73	453	30.3
56.7	152	3.73	453	30.3
56.7	152	3.73	454	30.3
56.7	152	3.73	454	30.3
56.7	152	3.73	454	30.4
57.5	152	3.78	454	30.4
57.5	152	3.78	454	30.4
56.7	152	3.73	454	30.4
56.7	152	3.73	454	30.4
56.7	152	3.73	454	30.4
56.7	152	3.73	454	30.4
56.7	152	3.73	454	30.4
56.7	152	3.73	454	30.4
57.5	152	3.78	455	30.4
57.5	152	3.78	455	30.4
57.5	152	3.78	455	30.4
56.7	152	3.73	455	30.4
56.9	152	3.74	455	30.4
56.7	152	3.73	455	30.4
57.5	152	3.78	455	30.4
57.5	152	3.78	455	30.5
57.5	152	3.78	455	30.5
57.5	152	3.78	455	30.5
56.7	152	3.73	455	30.5
57.4	152	3.77	456	30.5
57.5	152	3.78	456	30.5
56.7	152	3.73	456	30.5
57.5	152	3.78	456	30.5
57.5	152	3.78	456	30.5
57.5	153	3.78	456	30.5
57.5	153	3.78	456	30.5
56.7	153	3.73	456	30.5
57.5	153	3.78	456	30.5
57.5	153	3.78	456	30.5
57.5	153	3.78	456	30.5
57.5	153	3.78	457	30.5
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	457	30.6
57.5	153	3.78	458	30.6
57.5	153	3.78	458	30.6
57.5	153	3.78	458	30.6
57.5	153	3.78	458	30.6
57.5	153	3.78	458	30.6
57.5	153	3.78	458	30.6
57.5	153	3.78	458	30.7
57.5	153	3.78	458	30.7
57.5	153	3.78	458	30.7
57.5	153	3.78	458	30.7
57.5	153	3.78	458	30.7
57.5	153	3.78	459	30.7
57.5	153	3.78	459	30.7
57.5	153	3.78	459	30.7
57.5	153	3.78	459	30.7
57.5	154	3.78	459	30.7
57.5	154	3.78	459	30.7
57.5	154	3.78	459	30.7
57.5	154	3.78	459	30.7
57.5	154	3.78	459	30.7
57.5	154	3.78	459	30.7
57.5	154	3.78	459	30.7
57.5	154	3.78	460	30.7
57.5	154	3.78	460	30.8
-1.67	154	-0.110	460	30.8
-1.67	154	-0.110	460	30.8
-1.46	154	-0.0960	460	30.8
-1.67	154	-0.110	460	30.8
-1.67	154	-0.110	460	30.8
-1.67	154	-0.110	460	30.8

